time,cycle,altitude,north_pos,east_pos,forward_vel,side_vel,vertical_vel,total_vel,roll_angle,pitch_angle,yaw_angle,roll_rate,pitch_rate,yaw_rate,aileron,elevator,rudder,throttle,aoa,sideslip,g_force,heading_deg,bank_deg,pitch_deg,aoa_deg,slip_deg
0.050000,10,1000.076222,2.751327,0.000001,55.095040,0.000219,0.275058,55.095727,0.000637,0.030287,0.000000,0.018439,0.007956,0.000003,0.400000,0.150000,0.000186,0.900000,-0.004992,0.000004,0.643521,0.000008,0.036523,1.735310,-0.286042,0.000228
0.100000,20,1000.138753,5.507839,0.000007,55.190506,0.001144,0.593091,55.193693,0.001613,0.030700,0.000001,0.019975,0.008360,0.000011,0.400000,0.150000,0.000458,0.900000,-0.010746,0.000021,0.467500,0.000054,0.092429,1.758954,-0.615691,0.001187
0.150000,30,1000.185668,8.269628,0.000025,55.286303,0.002816,0.952646,55.294510,0.002615,0.031118,0.000003,0.020041,0.008352,0.000024,0.400000,0.150000,0.000805,0.900000,-0.017229,0.000051,0.364901,0.000155,0.149828,1.782907,-0.987174,0.002918
0.200000,40,1000.214774,11.036789,0.000053,55.382283,0.005228,1.358962,55.398954,0.003616,0.031534,0.000006,0.019978,0.008323,0.000040,0.400000,0.150000,0.001227,0.900000,-0.024533,0.000094,0.293384,0.000321,0.207163,1.806793,-1.405633,0.005409
0.250000,50,1000.223579,13.809420,0.000084,55.478213,0.008382,1.818386,55.508006,0.004613,0.031950,0.000010,0.019902,0.008290,0.000059,0.400000,0.150000,0.001722,0.900000,-0.032765,0.000151,0.251039,0.000561,0.264296,1.830589,-1.877288,0.008656
0.300000,60,1000.209252,16.587620,0.000100,55.573742,0.012283,2.338182,55.622910,0.005606,0.032363,0.000015,0.019821,0.008257,0.000082,0.400000,0.150000,0.002292,0.900000,-0.042049,0.000221,0.254578,0.000884,0.321207,1.854290,-2.409213,0.012664
0.350000,70,1000.168572,19.371480,0.000077,55.668367,0.016946,2.926650,55.745248,0.006595,0.032775,0.000023,0.019736,0.008221,0.000108,0.400000,0.150000,0.002938,0.900000,-0.052525,0.000304,0.312576,0.001299,0.377884,1.877891,-3.009437,0.017441
0.400000,80,1000.097873,22.161081,-0.000024,55.761374,0.022389,3.593296,55.877035,0.007580,0.033185,0.000032,0.019646,0.008183,0.000136,0.400000,0.150000,0.003662,0.900000,-0.064352,0.000402,0.418530,0.001815,0.434314,1.901386,-3.687076,0.023005
0.450000,90,999.992977,24.956485,-0.000250,55.851770,0.028638,4.349031,56.020845,0.008560,0.033594,0.000043,0.019548,0.008142,0.000168,0.400000,0.150000,0.004466,0.900000,-0.077711,0.000513,0.563696,0.002439,0.490478,1.924768,-4.452488,0.029379
0.500000,100,999.849119,27.757716,-0.000669,55.938191,0.035727,5.206417,56.179972,0.009536,0.033999,0.000056,0.019442,0.008098,0.000203,0.400000,0.150000,0.005354,0.900000,-0.092807,0.000639,0.743320,0.003182,0.546355,1.948026,-5.317454,0.036594
0.550000,110,999.660857,30.564751,-0.001362,56.018778,0.043694,6.179973,56.358651,0.010505,0.034403,0.000071,0.019324,0.008048,0.000241,0.400000,0.150000,0.006329,0.900000,-0.109875,0.000780,0.956608,0.004051,0.601915,1.971147,-6.295395,0.044690
0.600000,120,999.421961,33.377488,-0.002433,56.091007,0.052585,7.286567,56.562336,0.011469,0.034804,0.000088,0.019191,0.007993,0.000283,0.400000,0.150000,0.007396,0.900000,-0.129183,0.000937,1.205606,0.005054,0.657121,1.994116,-7.401625,0.053714
0.650000,130,999.125283,36.195720,-0.004011,56.151467,0.062453,8.545911,56.798096,0.012425,0.035202,0.000108,0.019040,0.007929,0.000327,0.400000,0.150000,0.008560,0.900000,-0.151035,0.001112,1.494463,0.006201,0.711928,2.016912,-8.653662,0.063726
0.700000,140,998.762599,39.019084,-0.006254,56.195548,0.073357,9.981228,57.075125,0.013374,0.035596,0.000131,0.018865,0.007856,0.000375,0.400000,0.150000,0.009828,0.900000,-0.175783,0.001305,1.829202,0.007500,0.766275,2.039510,-10.071612,0.074794
0.750000,150,998.324407,41.847005,-0.009355,56.217019,0.085361,11.620139,57.405472,0.014313,0.035987,0.000156,0.018661,0.007770,0.000426,0.400000,0.150000,0.011204,0.900000,-0.203831,0.001518,2.217887,0.008958,0.820087,2.061878,-11.678649,0.086998
0.800000,160,997.799674,44.678607,-0.013552,56.207422,0.098527,13.495897,57.805045,0.015241,0.036372,0.000185,0.018419,0.007668,0.000479,0.400000,0.150000,0.012696,0.900000,-0.235648,0.001753,2.671144,0.010582,0.873270,2.083975,-13.501628,0.100435
0.850000,170,997.175511,47.512598,-0.019132,56.155206,0.112919,15.649129,58.295070,0.016157,0.036752,0.000216,0.018130,0.007547,0.000535,0.400000,0.150000,0.014310,0.900000,-0.271781,0.002011,3.203091,0.012377,0.925702,2.105749,-15.571898,0.115212
0.900000,180,996.436734,50.347103,-0.026448,56.044457,0.128587,18.130383,58.904232,0.017056,0.037126,0.000250,0.017781,0.007400,0.000591,0.400000,0.150000,0.016051,0.900000,-0.312875,0.002294,3.832859,0.014347,0.977231,2.127136,-17.926395,0.131458
0.950000,190,995.565272,53.179423,-0.035936,55.852955,0.145561,21.003931,59.671928,0.017936,0.037491,0.000288,0.017356,0.007221,0.000649,0.400000,0.150000,0.017923,0.900000,-0.359698,0.002606,4.587059,0.016492,1.027661,2.148053,-20.609154,0.149320
1.000000,200,994.539326,56.005687,-0.048135,55.549132,0.163827,24.353692,60.653402,0.018793,0.037846,0.000328,0.016834,0.007002,0.000704,0.400000,0.150000,0.019924,0.900000,-0.413180,0.002949,5.503893,0.018807,1.076748,2.168397,-23.673469,0.168978
